Title,release_date,Manufacturer
რქაწითელი ჩამოსასხმელი 1 ლიტრი,2019,გიორგი ბერიკაშვილი
რქაწითელი ჩამოსასხმელი 1 ლიტრი,2019,გიორგი ბერიკაშვილი
მწვანე ჩამოსასხმელი 1 ლიტრი,2019,გელა მჭედლიშვილი
რქაწითელი ჩამოსასხმელი 1.5 ლიტრი,2019,გიორგი ბერიკაშვილი
რქაწითელი ჩამოსასხმელი 1.5 ლიტრი,2019,გიორგი ბერიკაშვილი
თელავური,2019,თელავის ღვინის მარანი
ალაზნის ველი,2018,ღვინის კომპანია შუმი
საფერავი ჩამოსასხმელი 1 ლიტრი,2019,გელა მჭედლიშვილი
მანავი,2017,ბადაგონი
რქაწითელი ჩამოსასხმელი 2 ლიტრი,2019,გიორგი ბერიკაშვილი
რქაწითელი-შარდონე,2017,თელავის ღვინის მარანი
რქაწითელი,2019,თელავის ღვინის მარანი
რქაწითელი ჩამოსასხმელი 2 ლიტრი,2019,გიორგი ბერიკაშვილი
ალაზნის ველი,2018,ბადაგონი
ალაზნის ველი,2018,თელავის ღვინის მარანი
წინანდალი,2018,ბადაგონი
მწვანე ჩამოსასხმელი 1.5 ლიტრი,2019,გელა მჭედლიშვილი
ალაზნის ველი,2018,თელავის ღვინის მარანი
ფიროსმანი,2018,თელავის ღვინის მარანი
ფიროსმანი როზე,2018,თელავის ღვინის მარანი
ალაზნის ველი,2019,თბილღვინო
წინანდალი,2018,ღვინის კომპანია შუმი
რქაწითელი,2018,შუხმან ვაინს ჯორჯია
ალაზნის ველი,2018,ბადაგონი
მწვანე,2018,თელავის ღვინის მარანი
საფერავი როზე,2019,თელავის ღვინის მარანი
წინანდალი,2018,თბილღვინო
ფიროსმანი,2018,ბადაგონი
წინანდალი,2018,თელავის ღვინის მარანი
რქაწითელი ქვევრის ჩამოსასხმელი 1 ლიტრი,2018,ნუკრი ბარძიმაშვილი
საფერავი,2018,ღვინის კომპანია შუმი
წინანდალი,2016,ვაინ მენი
როზე ჩამოსასხმელი 1 ლიტრი,2019,დავით ღვინიაშვილი
რქაწითელი ჩამოსასხმელი 1 ლიტრი,2019,დავით ღვინიაშვილი
საფერავი წითელი ნახევრად ტკბილი ჩამოსასხმელი 1 ლიტრი,2019,დავით ღვინიაშვილი
საფერავი-კაბერნე,2017,ვაინ მენი
საფერავი,2018,შუხმან ვაინს ჯორჯია
ქისი ჩამოსასხმელი 1 ლიტრი,2018,გელა მჭედლიშვილი
წითელი ნახევრად ტკბილი,2019,თელავის ღვინის მარანი
თეთრი ბრუტი,2019,თელავის ღვინის მარანი
თეთრი ნახევრად მშრალი,2019,თელავის ღვინის მარანი
საფერავი-კაბერნე,2018,თელავის ღვინის მარანი
კაბერნე სოვინიონი,2016,შუხმან ვაინს ჯორჯია
სარაჯიშვილი 5 წლის,5,სარაჯიშვილი
მაესტრო ნახევრად მშრალი,2019,ბადაგონი
მაესტრო ნახევრად ტკბილი,2018,ბადაგონი
მაესტრო ბრუტი,2018,ბადაგონი
ახაშენი,2019,ბადაგონი
მაესტრო როზე,2019,ბადაგონი
საფერავი,2018,ბადაგონი
ალაზნის ველი როზე,2018,თელავის ღვინის მარანი
საფერავი ჩამოსასხმელი 1.5 ლიტრი,2019,გელა მჭედლიშვილი
ცოლიკაური,2016,მილდიანი
წინანდალი,2017,შუხმან ვაინს ჯორჯია
მწვანე ჩამოსასხმელი 2 ლიტრი,2019,გელა მჭედლიშვილი
საფერავი,2017,ვაინ მენი
საფერავი,2018,მილდიანი
საფერავი,2018,თბილღვინო
ახაშენი,2016,მეღვინეობა შილდა
რქაწითელი ჩამოსასხმელი 3 ლიტრი,2019,გიორგი ბერიკაშვილი
ქისი,2018,ბადაგონი
მუკუზანი,2017,შუხმან ვაინს ჯორჯია
ხიხვი 1 ლიტრი,2019,ერეკლე ნიკოლოზიშვილი
მუკუზანის საფერავი ჩამოსასხმელი 1 ლიტრი,2019,გიორგი ბერიკაშვილი
ციცქა-ცოლიკოური ჩამოსასხმელი 1 ლიტრი,2019,ნოდარ ლომიძე
როზე ბრუტი,2019,თელავის ღვინის მარანი
როზე ნახევრად ტკბილი,2019,თელავის ღვინის მარანი
როზე ნახევრად მშრალი,2019,თელავის ღვინის მარანი
საფერავი,2018,თელავის ღვინის მარანი
მილდიანი 3 წლის,3,მილდიანი
რქაწითელი ჩამოსასხმელი 3 ლიტრი,2019,გიორგი ბერიკაშვილი
მუკუზანი,2018,ღვინის კომპანია შუმი
